RegionYear,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,SDG13,SDG14,SDG15,SDG16,SDG17
Global2012,52,2,7,1,9,1,11,3,2,8,4,4,63,3,28,56,15
Global2013,72,3,9,3,13,2,12,5,3,10,4,6,75,5,35,63,22
Global2014,93,5,10,3,14,2,14,6,3,13,3,7,89,8,50,81,32
Global2015,120,7,19,3,22,2,18,8,6,19,5,11,107,17,76,97,37
Global2016,156,7,22,6,34,3,30,10,10,21,13,12,134,24,93,123,47
Global2017,175,9,23,7,33,4,40,15,18,22,25,19,149,26,97,139,53
Global2018,162,10,27,14,41,7,45,18,24,20,32,29,158,34,88,151,55
Global2019,154,10,24,16,39,8,47,23,30,17,29,34,162,34,84,141,57
Global2020,156,9,26,15,41,7,44,18,34,17,31,33,170,39,76,148,61
Global2021,122,9,19,16,29,3,33,16,26,15,25,23,124,32,54,108,52
Global2012 to 2021,1262,71,186,84,275,39,294,122,156,162,171,178,1231,222,681,1107,431
Pacific2012,11,0,1,0,3,0,2,0,0,1,0,0,20,2,7,19,4
Pacific2013,16,0,2,0,3,0,2,0,0,1,0,0,22,3,11,22,5
Pacific2014,21,0,2,0,3,0,2,0,0,1,0,0,24,3,15,26,6
Pacific2015,28,0,3,0,5,0,3,1,0,1,0,0,28,7,26,31,6
Pacific2016,35,0,3,0,9,0,6,1,1,1,0,0,37,10,29,38,7
Pacific2017,35,0,3,0,10,0,8,1,1,1,0,0,41,11,29,36,6
Pacific2018,31,0,3,0,9,0,11,1,1,0,0,0,45,13,28,39,8
Pacific2019,24,0,4,0,8,0,12,2,2,0,0,1,44,15,25,36,9
Pacific2020,23,0,5,0,10,0,11,1,2,0,1,0,45,16,21,50,8
Pacific2021,13,0,3,0,7,0,8,1,2,0,1,0,31,12,12,37,7
Pacific2012 to 2021,237,0,29,0,67,0,65,8,9,6,2,1,337,92,203,334,66
AIS2012,28,0,2,0,6,1,4,1,2,4,3,3,20,0,10,21,7
AIS2013,33,0,2,0,7,2,5,1,2,5,3,3,22,0,10,22,10
AIS2014,33,1,2,0,7,2,6,1,2,6,2,3,27,2,13,25,11
AIS2015,43,1,6,0,7,2,7,1,4,8,2,4,30,3,16,28,11
AIS2016,50,1,7,0,11,3,8,1,5,9,6,4,38,6,20,32,13
AIS2017,58,2,10,0,7,3,14,3,10,8,8,6,41,6,19,38,16
AIS2018,49,2,12,1,11,5,15,4,11,7,9,9,37,8,18,41,20
AIS2019,39,2,8,1,11,6,13,5,11,6,6,7,30,7,13,32,18
AIS2020,45,2,9,1,9,5,10,3,16,7,8,7,39,9,13,31,21
AIS2021,37,2,8,1,8,1,7,4,13,8,6,6,30,7,11,22,18
AIS2012 to 2021,415,13,66,4,84,30,89,24,76,68,53,52,314,48,143,292,145
Caribbean2012,13,2,4,1,0,0,5,2,0,3,1,1,23,1,11,16,4
Caribbean2013,23,3,5,3,3,0,5,4,1,4,1,3,31,2,14,19,7
Caribbean2014,39,4,6,3,4,0,6,5,1,6,1,4,38,3,22,30,15
Caribbean2015,49,6,10,3,10,0,8,6,2,10,3,7,49,7,34,38,20
Caribbean2016,71,6,12,6,14,0,16,8,4,11,7,8,59,8,44,53,27
Caribbean2017,82,7,10,7,16,1,18,11,7,13,17,13,67,9,49,65,31
Caribbean2018,82,8,12,13,21,2,19,13,12,13,23,20,76,13,42,71,27
Caribbean2019,91,8,12,15,20,2,22,16,17,11,23,26,88,12,46,73,30
Caribbean2020,88,7,12,14,22,2,23,14,16,10,22,26,86,14,42,67,32
Caribbean2021,72,7,8,15,14,2,18,11,11,7,18,17,63,13,31,49,27
Caribbean2012 to 2021,610,58,91,80,124,9,140,90,71,88,116,125,580,82,335,481,220
